user_id,channel,month_k,active
10,Контекстная реклама,0,True
10,Контекстная реклама,1,False
10,Контекстная реклама,2,False
10,Контекстная реклама,3,False
10,Контекстная реклама,4,False
10,Контекстная реклама,5,False
10,Контекстная реклама,6,False
11,Контекстная реклама,0,True
11,Контекстная реклама,1,True
11,Контекстная реклама,2,False
11,Контекстная реклама,3,False
11,Контекстная реклама,4,False
11,Контекстная реклама,5,False
11,Контекстная реклама,6,False
16,Реферальная программа,0,True
16,Реферальная программа,1,False
16,Реферальная программа,2,True
16,Реферальная программа,3,False
16,Реферальная программа,4,True
16,Реферальная программа,5,False
16,Реферальная программа,6,False
18,Контекстная реклама,0,True
18,Контекстная реклама,1,False
18,Контекстная реклама,2,False
18,Контекстная реклама,3,True
18,Контекстная реклама,4,False
18,Контекстная реклама,5,True
18,Контекстная реклама,6,False
20,Telegram (локальные каналы),0,True
20,Telegram (локальные каналы),1,True
20,Telegram (локальные каналы),2,True
20,Telegram (локальные каналы),3,False
20,Telegram (локальные каналы),4,True
20,Telegram (локальные каналы),5,False
20,Telegram (локальные каналы),6,False
27,Реферальная программа,0,True
27,Реферальная программа,1,False
27,Реферальная программа,2,False
27,Реферальная программа,3,False
27,Реферальная программа,4,False
27,Реферальная программа,5,False
27,Реферальная программа,6,False
31,Реферальная программа,0,True
31,Реферальная программа,1,True
31,Реферальная программа,2,True
31,Реферальная программа,3,False
31,Реферальная программа,4,True
31,Реферальная программа,5,False
31,Реферальная программа,6,False
32,Telegram (локальные каналы),0,True
32,Telegram (локальные каналы),1,False
32,Telegram (локальные каналы),2,False
32,Telegram (локальные каналы),3,True
32,Telegram (локальные каналы),4,True
32,Telegram (локальные каналы),5,False
32,Telegram (локальные каналы),6,True
40,Органический поиск,0,True
40,Органический поиск,1,True
40,Органический поиск,2,False
40,Органический поиск,3,False
40,Органический поиск,4,False
40,Органический поиск,5,True
40,Органический поиск,6,False
45,Telegram (локальные каналы),0,True
45,Telegram (локальные каналы),1,False
45,Telegram (локальные каналы),2,False
45,Telegram (локальные каналы),3,False
45,Telegram (локальные каналы),4,False
45,Telegram (локальные каналы),5,True
45,Telegram (локальные каналы),6,False
47,Таргетированная реклама,0,True
47,Таргетированная реклама,1,False
47,Таргетированная реклама,2,False
47,Таргетированная реклама,3,False
47,Таргетированная реклама,4,False
47,Таргетированная реклама,5,False
47,Таргетированная реклама,6,False
50,Таргетированная реклама,0,True
50,Таргетированная реклама,1,False
50,Таргетированная реклама,2,False
50,Таргетированная реклама,3,False
50,Таргетированная реклама,4,False
50,Таргетированная реклама,5,False
50,Таргетированная реклама,6,False
51,Реферальная программа,0,True
51,Реферальная программа,1,False
51,Реферальная программа,2,True
51,Реферальная программа,3,False
51,Реферальная программа,4,False
