merchant_id,industry,tx_count_90d,avg_check_rub,gmv_90d_rub
2,Красота и здоровье,284,2707,768788
8,Продукты питания,293,1715,502495
9,Одежда и обувь,310,2673,828630
10,Товары для дома,370,4981,1842970
12,Электроника,122,13675,1668350
13,Красота и здоровье,498,2307,1148886
16,Услуги и подписки,246,1496,368016
19,Красота и здоровье,303,3242,982326
21,Электроника,94,14488,1361872
23,Хобби и DIY,199,2862,569538
25,Красота и здоровье,275,2431,668525
27,Товары для дома,138,5268,726984
29,Хобби и DIY,141,2168,305688
31,Одежда и обувь,336,3357,1127952
32,Услуги и подписки,122,1405,171410
34,Товары для дома,379,5339,2023481
36,Электроника,96,9446,906816
37,Товары для дома,321,6374,2046054
39,Одежда и обувь,1898,3218,6107764
40,Хобби и DIY,95,3222,306090
46,Одежда и обувь,698,3695,2579110
47,Одежда и обувь,432,3531,1525392
49,Электроника,206,13161,2711166
50,Хобби и DIY,60,2724,163440
51,Электроника,225,12053,2711925
52,Красота и здоровье,339,2731,925809
53,Продукты питания,1544,1854,2862576
54,Красота и здоровье,104,2770,288080
56,Товары для дома,192,5141,987072
59,Продукты питания,527,1808,952816
61,Продукты питания,665,1785,1187025
66,Услуги и подписки,271,1548,419508
68,Одежда и обувь,1082,3571,3863822
70,Одежда и обувь,559,3198,1787682
71,Электроника,194,11250,2182500
72,Электроника,69,13189,910041
75,Товары для дома,345,5108,1762260
76,Продукты питания,944,1926,1818144
79,Услуги и подписки,168,1483,249144
80,Электроника,141,14019,1976679
82,Красота и здоровье,147,2296,337512
83,Одежда и обувь,697,3058,2131426
85,Товары для дома,229,4563,1044927
86,Одежда и обувь,844,3352,2829088
89,Красота и здоровье,307,2402,737414
90,Одежда и обувь,512,3149,1612288
93,Одежда и обувь,522,3770,1967940
95,Красота и здоровье,351,2574,903474
99,Услуги и подписки,294,1644,483336
100,Красота и здоровье,404,2601,1050804
101,Одежда и обувь,1184,3109,3681056
103,Товары для дома,427,5551,2370277
105,Электроника,473,12180,5761140
106,Электроника,95,13320,1265400
107,Красота и здоровье,211,2829,596919
109,Электроника,331,12509,4140479
111,Товары для дома,143,4751,679393
112,Электроника,439,11596,5090644
114,Продукты питания,310,1924,596440
117,Одежда и обувь,499,3087,1540413
120,Одежда и обувь,440,3287,1446280
121,Одежда и обувь,544,3253,1769632
122,Товары для дома,622,4564,2838808
124,Товары для дома,516,5054,2607864
127,Хобби и DIY,470,3069,1442430
130,Товары для дома,877,5355,4696335
131,Электроника,140,9809,1373260
133,Электроника,103,12856,1324168
134,Услуги и подписки,317,1899,601983
135,Электроника,215,12935,2781025
140,Товары для дома,111,4703,522033
143,Электроника,279,14758,4117482
144,Электроника,102,12755,1301010
146,Одежда и обувь,431,3876,1670556
147,Электроника,271,12537,3397527
150,Электроника,234,13433,3143322
151,Электроника,188,11818,2221784
152,Электроника,206,14327,2951362
153,Товары для дома,359,4869,1747971
154,Одежда и обувь,388,3452,1339376
157,Электроника,216,14231,3073896
159,Хобби и DIY,160,2848,455680
162,Одежда и обувь,583,3329,1940807
163,Одежда и обувь,1021,2832,2891472
164,Красота и здоровье,375,2565,961875
167,Электроника,394,12248,4825712
168,Электроника,137,12823,1756751
169,Хобби и DIY,152,2631,399912
170,Хобби и DIY,69,3105,214245
171,Одежда и обувь,318,3618,1150524
172,Товары для дома,204,4694,957576
180,Одежда и обувь,701,3682,2581082
181,Одежда и обувь,410,3987,1634670
182,Продукты питания,225,1755,394875
183,Продукты питания,496,1848,916608
184,Товары для дома,100,4501,450100
185,Продукты питания,167,1983,331161
186,Товары для дома,159,6125,973875
189,Продукты питания,510,2170,1106700
190,Услуги и подписки,180,1443,259740
191,Одежда и обувь,570,3661,2086770
192,Одежда и обувь,816,3903,3184848
193,Продукты питания,531,1529,811899
196,Услуги и подписки,750,1320,990000
198,Электроника,197,14231,2803507
200,Одежда и обувь,1182,2799,3308418
204,Электроника,254,12910,3279140
206,Одежда и обувь,435,3696,1607760
207,Электроника,106,13294,1409164
209,Одежда и обувь,590,3362,1983580
210,Электроника,88,14913,1312344
211,Красота и здоровье,284,2860,812240
221,Одежда и обувь,498,4300,2141400
222,Одежда и обувь,1033,2943,3040119
223,Одежда и обувь,365,3185,1162525
224,Одежда и обувь,689,3373,2323997
225,Красота и здоровье,188,3006,565128
228,Красота и здоровье,516,2832,1461312
231,Красота и здоровье,736,2473,1820128
233,Хобби и DIY,101,2383,240683
234,Электроника,195,11128,2169960
235,Одежда и обувь,2244,4111,9225084
239,Электроника,120,12763,1531560
243,Красота и здоровье,144,2662,383328
249,Одежда и обувь,612,2994,1832328
250,Продукты питания,228,1907,434796
252,Электроника,221,11484,2537964
253,Товары для дома,404,4977,2010708
255,Продукты питания,233,1824,424992
256,Красота и здоровье,142,2377,337534
257,Продукты питания,721,2173,1566733
