student_id,registered_at,channel,ab_group,lessons_completed,completed_course
1,2024-10-14 17:00:00,Таргетированная реклама,control,6,False
2,2024-10-31 12:00:00,Органический поиск,control,2,False
3,2024-10-27 10:00:00,Реферальная программа,test,8,True
4,2024-10-11 19:00:00,Таргетированная реклама,control,5,False
5,2024-10-08 18:00:00,Реферальная программа,control,6,False
6,2024-10-15 15:00:00,Таргетированная реклама,test,2,False
7,2024-10-30 20:00:00,Реферальная программа,test,8,True
8,2024-10-27 16:00:00,Реферальная программа,test,8,True
9,2024-10-31 22:00:00,Таргетированная реклама,test,1,False
10,2024-10-05 11:00:00,Контекстная реклама,control,1,False
11,2024-10-10 16:00:00,Реферальная программа,test,2,False
12,2024-10-26 15:00:00,Органический поиск,test,5,False
13,2024-10-31 13:00:00,Таргетированная реклама,test,2,False
14,2024-10-29 16:00:00,Реферальная программа,control,1,False
15,2024-10-23 11:00:00,Таргетированная реклама,control,7,False
16,2024-10-19 20:00:00,Реферальная программа,test,1,False
17,2024-10-28 21:00:00,Контекстная реклама,control,8,True
18,2024-10-30 09:00:00,Реферальная программа,control,5,False
19,2024-10-25 15:00:00,Контекстная реклама,test,2,False
20,2024-10-22 12:00:00,Реферальная программа,test,8,True
21,2024-10-01 09:00:00,Реферальная программа,control,8,True
22,2024-10-31 21:00:00,Органический поиск,control,2,False
23,2024-10-10 14:00:00,Таргетированная реклама,test,3,False
24,2024-10-08 10:00:00,Email-рассылка,control,2,False
25,2024-10-27 18:00:00,Контекстная реклама,test,3,False
26,2024-10-03 11:00:00,Email-рассылка,test,8,True
27,2024-10-18 21:00:00,Контекстная реклама,control,8,True
28,2024-10-31 11:00:00,Реферальная программа,control,2,False
29,2024-10-19 08:00:00,Email-рассылка,control,6,False
30,2024-10-06 11:00:00,Реферальная программа,control,8,True
31,2024-10-14 13:00:00,Реферальная программа,test,2,False
32,2024-10-23 15:00:00,Органический поиск,test,0,False
33,2024-10-11 21:00:00,Реферальная программа,control,8,True
34,2024-10-20 18:00:00,Реферальная программа,control,3,False
35,2024-10-24 13:00:00,Email-рассылка,control,7,False
36,2024-10-28 08:00:00,Реферальная программа,control,0,False
37,2024-10-10 10:00:00,Таргетированная реклама,test,8,True
38,2024-10-01 22:00:00,Таргетированная реклама,control,5,False
39,2024-10-03 14:00:00,Таргетированная реклама,test,2,False
40,2024-10-26 18:00:00,Органический поиск,control,5,False
41,2024-10-27 08:00:00,Контекстная реклама,control,4,False
