user_id,segment,signup_date
1,Курьеры,2024-10-16
2,Фрилансеры,2024-11-24
3,Фрилансеры,2024-08-22
4,Курьеры,2024-11-26
5,Мастера услуг,2024-09-06
6,Курьеры,2024-09-09
7,Таксисты,2024-12-02
8,Мастера услуг,2024-10-14
9,Фрилансеры,2024-09-03
10,Мастера услуг,2024-10-21
11,Мастера услуг,2024-08-25
12,Курьеры,2024-11-06
13,Таксисты,2024-08-09
14,Фрилансеры,2024-12-12
15,Таксисты,2024-09-22
16,Курьеры,2024-11-06
17,Курьеры,2024-10-23
18,Курьеры,2024-08-03
19,Мастера услуг,2024-09-01
20,Курьеры,2024-11-21
21,Курьеры,2024-11-13
22,Таксисты,2025-01-17
23,Курьеры,2024-12-31
24,Мастера услуг,2024-10-29
25,Фрилансеры,2024-11-09
26,Курьеры,2024-10-29
27,Таксисты,2024-10-13
28,Фрилансеры,2024-12-01
29,Курьеры,2025-01-23
30,Курьеры,2024-10-25
31,Курьеры,2024-08-06
32,Мастера услуг,2024-12-19
33,Фрилансеры,2024-08-12
34,Мастера услуг,2024-10-21
35,Мастера услуг,2024-09-03
36,Мастера услуг,2025-01-26
37,Курьеры,2024-12-07
38,Таксисты,2024-08-30
39,Мастера услуг,2024-08-16
40,Мастера услуг,2024-09-13
41,Курьеры,2024-08-31
42,Таксисты,2024-11-13
43,Курьеры,2025-01-09
44,Фрилансеры,2024-10-30
45,Фрилансеры,2024-10-24
46,Таксисты,2024-12-08
47,Мастера услуг,2024-10-30
48,Мастера услуг,2025-01-22
49,Курьеры,2024-09-18
50,Курьеры,2024-09-27
51,Таксисты,2025-01-08
52,Курьеры,2024-08-07
53,Мастера услуг,2024-12-31
54,Курьеры,2024-10-18
55,Курьеры,2025-01-14
56,Курьеры,2024-10-20
57,Таксисты,2024-12-19
58,Фрилансеры,2024-11-28
59,Курьеры,2024-11-11
60,Курьеры,2024-08-26
61,Фрилансеры,2024-12-10
62,Курьеры,2024-08-16
63,Курьеры,2024-08-13
64,Мастера услуг,2024-08-18
65,Фрилансеры,2024-08-29
66,Курьеры,2025-01-16
67,Курьеры,2025-01-10
68,Курьеры,2024-12-04
69,Фрилансеры,2024-12-21
70,Мастера услуг,2024-08-11
71,Таксисты,2024-09-30
72,Таксисты,2024-12-28
73,Мастера услуг,2024-12-04
74,Курьеры,2024-11-23
75,Таксисты,2024-09-26
76,Мастера услуг,2024-11-10
77,Курьеры,2024-12-27
78,Курьеры,2024-08-27
79,Мастера услуг,2024-11-18
80,Таксисты,2024-11-30
81,Курьеры,2024-09-25
82,Курьеры,2024-11-10
83,Таксисты,2024-08-25
84,Курьеры,2024-08-03
85,Курьеры,2024-10-17
86,Курьеры,2024-12-27
87,Фрилансеры,2025-01-10
88,Фрилансеры,2025-01-05
89,Мастера услуг,2025-01-04
90,Таксисты,2024-08-29
91,Фрилансеры,2025-01-25
92,Таксисты,2024-09-08
93,Фрилансеры,2025-01-01
94,Курьеры,2024-10-26
95,Фрилансеры,2024-10-03
96,Курьеры,2025-01-07
97,Курьеры,2024-08-02
98,Курьеры,2024-12-09
99,Фрилансеры,2024-08-21
100,Курьеры,2024-08-15
101,Фрилансеры,2025-01-10
102,Таксисты,2024-11-22
103,Курьеры,2024-11-10
104,Мастера услуг,2024-08-18
105,Курьеры,2024-08-16
106,Мастера услуг,2024-10-02
107,Фрилансеры,2024-12-04
108,Таксисты,2024-08-04
109,Фрилансеры,2024-08-28
110,Курьеры,2024-10-24
111,Мастера услуг,2024-08-10
112,Курьеры,2024-11-18
113,Фрилансеры,2024-09-02
114,Курьеры,2024-11-24
115,Таксисты,2024-08-05
116,Фрилансеры,2024-10-01
117,Мастера услуг,2024-08-06
118,Курьеры,2024-11-08
119,Мастера услуг,2024-11-20
120,Курьеры,2025-01-02
121,Мастера услуг,2025-01-24
122,Фрилансеры,2024-11-12
123,Курьеры,2025-01-09
124,Фрилансеры,2024-10-28
125,Курьеры,2024-08-20
126,Курьеры,2025-01-04
127,Курьеры,2024-08-04
128,Таксисты,2024-09-19
129,Таксисты,2024-08-23
130,Мастера услуг,2024-11-23
131,Курьеры,2024-08-18
132,Мастера услуг,2024-10-24
133,Курьеры,2024-09-11
134,Мастера услуг,2024-09-18
135,Курьеры,2024-10-09
136,Мастера услуг,2024-10-10
137,Курьеры,2024-08-01
138,Курьеры,2025-01-16
139,Фрилансеры,2024-08-14
140,Мастера услуг,2024-12-23
141,Таксисты,2024-11-13
142,Курьеры,2025-01-02
143,Фрилансеры,2024-10-09
144,Фрилансеры,2024-11-15
145,Курьеры,2024-11-08
146,Мастера услуг,2024-09-10
147,Мастера услуг,2024-09-04
148,Курьеры,2024-11-08
149,Фрилансеры,2024-08-17
150,Мастера услуг,2024-12-30
151,Курьеры,2024-08-17
152,Мастера услуг,2024-11-23
153,Таксисты,2024-09-17
154,Курьеры,2024-12-12
155,Таксисты,2024-10-12
156,Курьеры,2024-10-07
157,Фрилансеры,2024-10-10
158,Мастера услуг,2024-12-06
159,Курьеры,2024-09-22
160,Мастера услуг,2024-08-16
161,Мастера услуг,2025-01-06
162,Курьеры,2024-09-24
163,Курьеры,2024-10-15
164,Таксисты,2024-08-16
165,Курьеры,2024-09-19
166,Фрилансеры,2024-12-24
167,Курьеры,2024-08-28
168,Курьеры,2024-12-19
169,Таксисты,2024-09-14
170,Фрилансеры,2024-10-18
171,Таксисты,2024-09-25
172,Мастера услуг,2024-09-20
173,Таксисты,2024-12-14
174,Таксисты,2024-08-14
175,Мастера услуг,2024-08-05
176,Фрилансеры,2024-10-23
177,Курьеры,2024-09-10
178,Курьеры,2025-01-03
179,Курьеры,2024-08-08
180,Таксисты,2025-01-07
181,Курьеры,2024-12-25
182,Таксисты,2024-08-26
183,Курьеры,2024-11-16
184,Курьеры,2024-12-13
185,Мастера услуг,2024-09-28
186,Фрилансеры,2024-08-27
187,Фрилансеры,2024-12-04
188,Курьеры,2024-11-15
189,Фрилансеры,2024-12-13
190,Мастера услуг,2025-01-19
191,Мастера услуг,2024-09-20
192,Фрилансеры,2024-12-06
193,Таксисты,2024-12-17
194,Таксисты,2024-11-29
195,Мастера услуг,2024-08-28
196,Таксисты,2024-12-24
197,Таксисты,2024-08-03
198,Курьеры,2024-10-09
199,Фрилансеры,2024-10-08
200,Курьеры,2024-09-15
201,Мастера услуг,2024-11-29
202,Курьеры,2024-12-14
203,Мастера услуг,2024-09-28
204,Курьеры,2024-12-30
205,Курьеры,2024-08-08
206,Таксисты,2024-11-07
207,Курьеры,2024-11-22
208,Мастера услуг,2024-12-28
209,Курьеры,2024-12-15
210,Таксисты,2024-11-18
211,Таксисты,2025-01-03
212,Таксисты,2024-11-07
213,Курьеры,2024-08-08
214,Фрилансеры,2024-12-14
215,Мастера услуг,2024-11-21
216,Курьеры,2024-10-06
217,Таксисты,2024-09-27
218,Курьеры,2024-11-22
219,Курьеры,2024-12-29
220,Мастера услуг,2024-09-12
221,Таксисты,2025-01-13
222,Фрилансеры,2024-10-30
223,Таксисты,2025-01-27
224,Курьеры,2025-01-17
225,Фрилансеры,2024-08-04
226,Фрилансеры,2024-12-05
227,Курьеры,2024-10-12
228,Курьеры,2024-11-06
229,Курьеры,2024-10-13
230,Таксисты,2025-01-22
231,Таксисты,2024-10-12
232,Курьеры,2024-08-12
233,Мастера услуг,2024-09-16
234,Таксисты,2024-09-17
235,Курьеры,2025-01-19
236,Таксисты,2024-08-23
237,Фрилансеры,2024-10-11
238,Таксисты,2024-08-07
239,Курьеры,2024-12-02
240,Таксисты,2024-10-16
241,Курьеры,2024-12-14
242,Курьеры,2024-11-06
243,Таксисты,2024-09-10
244,Таксисты,2024-12-26
245,Таксисты,2024-11-14
246,Курьеры,2024-10-28
247,Таксисты,2024-12-23
248,Курьеры,2025-01-03
249,Курьеры,2024-10-13
250,Курьеры,2024-10-05
251,Таксисты,2024-11-20
252,Курьеры,2024-09-19
253,Мастера услуг,2024-11-07
254,Курьеры,2024-08-02
255,Мастера услуг,2024-09-25
256,Таксисты,2024-10-04
257,Фрилансеры,2024-08-22
258,Мастера услуг,2024-10-30
259,Фрилансеры,2024-08-14
260,Курьеры,2024-10-04
261,Курьеры,2024-11-12
262,Курьеры,2024-11-18
263,Таксисты,2024-11-12
264,Таксисты,2024-10-10
265,Таксисты,2024-10-30
266,Таксисты,2024-12-25
267,Курьеры,2024-12-26
268,Мастера услуг,2024-09-09
269,Мастера услуг,2024-08-10
270,Мастера услуг,2024-09-16
271,Мастера услуг,2024-12-12
272,Таксисты,2024-12-15
273,Мастера услуг,2024-08-06
274,Курьеры,2024-08-15
275,Курьеры,2024-10-06
276,Фрилансеры,2024-12-01
277,Фрилансеры,2024-11-28
278,Фрилансеры,2024-09-28
279,Мастера услуг,2024-08-31
280,Таксисты,2025-01-23
281,Курьеры,2024-08-11
282,Таксисты,2025-01-11
283,Курьеры,2025-01-13
284,Таксисты,2024-11-15
285,Курьеры,2024-11-09
286,Мастера услуг,2024-09-04
287,Таксисты,2024-11-13
288,Фрилансеры,2024-09-15
289,Таксисты,2024-10-30
290,Мастера услуг,2024-12-03
291,Мастера услуг,2025-01-27
292,Мастера услуг,2024-11-18
